Date,Scrip,Sector,Close,Return_252d_%,Return_50d_%,Return_20d_%,Rank_252d,Rank_50d,Rank_20d,Combined_Score_%,Overall_Rank,In_Portfolio,Sharpe_252d,RSI_14,Volatility_%,EMA200,Above_EMA200
2024-07-01,HDFCSML250,ETF - SmallCap,174.56,66.07,14.52,11.06,4,3,2,30.55,2,,3.34,82.9,15.6,146.61,YES
2024-07-01,JUNIORBEES,ETF - Next 50,767.87,65.75,16.18,6.66,5,2,8,29.53,3,YES,3.49,72.2,14.8,623.36,YES
2024-07-01,PSUBNKBEES,ETF - PSU Bank,81.67,80.21,5.75,-0.69,2,12,13,28.42,4,YES,2.24,50.3,28.1,71.44,YES
2024-07-01,ICICIB22,ETF - Bharat 22 Index,111.34,68.77,7.81,1.65,3,11,11,26.08,5,YES,2.66,68.7,20.5,95.99,YES
2024-07-01,TNIDETF,ETF - Digital,87.18,45.47,11.0,13.03,6,6,1,23.17,6,YES,2.81,99.3,13.7,76.0,YES
2024-07-01,MNC,ETF - MNC,31.01,41.66,16.27,7.15,7,1,5,21.7,7,,2.06,71.8,17.7,26.05,YES
2024-07-01,LOWVOLIETF,ETF - Top 100,20.83,35.26,8.21,7.21,8,9,4,16.89,8,,3.05,71.6,10.1,18.75,YES
2024-07-01,NIFTYBEES,ETF - Top 50,268.3,30.32,9.28,6.83,9,8,7,15.48,9,,2.57,91.7,10.5,240.7,YES
2024-07-01,BANKBEES,ETF - Bank,539.28,21.45,11.31,7.32,10,4,3,13.36,10,,1.52,86.9,13.4,483.34,YES
2024-07-01,PVTBANIETF,ETF - Pvt Bank,26.25,18.67,10.06,7.01,13,7,6,11.92,11,,1.27,83.9,14.2,23.91,YES
2024-07-01,FMCGIETF,ETF - FMCG,59.82,11.38,7.86,6.23,14,10,9,8.49,12,,0.94,39.7,12.3,56.32,YES
2024-07-01,SILVERBEES,ETF - SILVER,85.58,19.29,4.58,-5.54,12,13,15,6.11,13,,0.97,41.1,20.4,77.29,YES
2024-07-01,GOLDBEES,ETF - GOLD,60.55,19.83,-2.17,-1.21,11,15,14,5.49,14,,1.72,55.5,10.8,56.22,YES
2024-07-01,GILT5YBEES,ETF - Fixed Income,56.29,7.12,1.85,0.63,15,14,12,3.2,15,,3.69,58.9,1.9,54.76,YES
